,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
218,Davila,89,PH,6/17/2021 18:01,79,18.4726,120.5763,82.29,12.19
219,Kisangani,99,CD,6/17/2021 18:01,74,0.5167,25.2,76.44,2.53
220,Isangel,29,VU,6/17/2021 18:01,88,-19.55,169.2667,74.48,4.72
221,Cantapoy,79,PH,6/17/2021 18:01,82,9.4906,125.4364,80.38,3.98
222,Kununurra,22,AU,6/17/2021 17:59,43,-15.7667,128.7333,71.58,4.61
224,Morondava,3,MG,6/17/2021 18:01,74,-20.2833,44.2833,73.67,9.6
225,Balkanabat,0,TM,6/17/2021 18:01,9,39.5108,54.3671,95.14,10.49
226,Isfahan,0,IR,6/17/2021 18:01,12,32.6572,51.6776,85.64,11.9
227,Perth,0,AU,6/17/2021 17:56,92,-31.9333,115.8333,47.35,9.22
228,Pathein,100,MM,6/17/2021 18:01,91,16.7833,94.7333,76.86,6.58
229,Pisco,50,PE,6/17/2021 18:01,86,-13.7,-76.2167,67.01,4.88
230,Colesberg,0,ZA,6/17/2021 18:01,35,-30.72,25.0972,51.55,5.84
231,Hermanus,72,ZA,6/17/2021 18:01,84,-34.4187,19.2345,60.8,8.48
232,Mbekenyera,96,TZ,6/17/2021 18:01,89,-10.0,38.9833,68.5,4.85
233,Sabang,90,ID,6/17/2021 18:01,73,5.8933,95.3214,82.94,14.2
236,Carbonia,98,IT,6/17/2021 18:01,53,39.1672,8.5222,74.39,11.16
237,Praia,51,CV,6/17/2021 18:01,77,14.9215,-23.5087,74.07,19.22
238,Xining,100,CN,6/17/2021 18:01,73,36.6167,101.7667,52.16,2.75
239,Sudak,100,UA,6/17/2021 18:01,85,44.85,34.9667,65.57,17.83
240,Kuytun,0,RU,6/17/2021 18:01,67,54.3419,101.5036,50.4,3.11
241,Chui,99,UY,6/17/2021 18:01,83,-33.6971,-53.4616,52.56,11.34
242,Thinadhoo,61,MV,6/17/2021 18:01,74,0.5333,72.9333,83.97,7.87
243,Syracuse,27,IT,6/17/2021 17:59,63,37.0881,15.2792,78.19,12.06
244,Luanda,78,AO,6/17/2021 18:01,83,-8.8368,13.2343,75.2,6.91
245,Kruisfontein,0,ZA,6/17/2021 18:01,81,-34.0033,24.7314,61.88,16.13
247,Hithadhoo,100,MV,6/17/2021 18:01,74,-0.6,73.0833,83.66,9.28
248,Tezu,20,IN,6/17/2021 18:01,97,27.9167,96.1667,76.42,4.54
249,Buckeye,39,US,6/17/2021 17:59,16,33.3703,-112.5838,108.45,10.16
252,Talavera,80,PH,6/17/2021 18:01,86,15.6167,120.9333,77.79,2.48
253,Cabedelo,27,BR,6/17/2021 18:01,77,-6.9811,-34.8339,80.51,14.36
254,Toamasina,32,MG,6/17/2021 18:01,80,-18.1667,49.3833,68.81,8.66
255,Auki,4,SB,6/17/2021 18:01,85,-8.7676,160.7034,75.79,3.29
256,Porbandar,22,IN,6/17/2021 18:01,74,21.6422,69.6093,85.44,15.55
260,Prainha,13,BR,6/17/2021 18:01,55,-1.8,-53.48,87.44,4.03
264,Griffith,1,US,6/17/2021 18:01,34,41.5284,-87.4237,84.31,4.0
265,Belmonte,70,BR,6/17/2021 18:01,63,-15.8631,-38.8828,79.3,7.83
266,Moranbah,10,AU,6/17/2021 18:01,28,-22.0016,148.0466,59.23,8.68
267,Bayir,3,TR,6/17/2021 18:01,63,37.2687,28.2167,70.32,3.8
268,Alyangula,37,AU,6/17/2021 18:01,90,-13.8483,136.4192,74.32,9.57
270,Kieta,83,PG,6/17/2021 18:01,80,-6.2167,155.6333,77.11,3.6
271,Havelock,0,US,6/17/2021 18:01,61,34.8791,-76.9013,82.76,4.0
272,Bhainsdehi,100,IN,6/17/2021 18:01,83,21.6467,77.6325,72.41,7.36
273,Atar,8,MR,6/17/2021 18:01,12,20.5169,-13.0499,103.71,13.18
275,Ouadda,100,CF,6/17/2021 18:01,96,8.0777,22.4007,67.78,2.62
276,Margate,67,GB,6/17/2021 18:01,90,51.3813,1.3862,66.96,7.67
277,Bam,0,IR,6/17/2021 18:01,7,29.105999999999998,58.357,87.94,10.92
278,Flinders,0,AU,6/17/2021 18:01,68,-34.5833,150.8552,53.83,11.99
280,Kuching,20,MY,6/17/2021 18:00,94,1.55,110.3333,73.62,2.3
281,Linjiang,100,CN,6/17/2021 18:01,98,41.8069,126.9078,61.03,4.79
285,Salinas,1,US,6/17/2021 18:01,26,36.6777,-121.6555,75.58,5.75
286,Benguela,10,AO,6/17/2021 18:01,83,-12.5763,13.4055,72.48,3.53
287,Bitung,24,ID,6/17/2021 18:01,85,1.4451,125.1824,78.35,6.29
288,Maragogi,38,BR,6/17/2021 18:01,78,-9.0122,-35.2225,79.2,10.42
289,Mairi,11,BR,6/17/2021 18:01,39,-11.7114,-40.1489,84.61,8.77
290,Bowen,37,AU,6/17/2021 18:01,72,-20.0167,148.2333,68.29,9.17
291,Sirte,0,LY,6/17/2021 18:01,63,31.2089,16.5887,74.1,16.62
292,Fare,60,PF,6/17/2021 18:01,67,-16.7,-151.0167,80.42,22.57
294,Pizarro,94,CO,6/17/2021 18:01,80,4.9533,-77.366,81.05,7.14
295,Mundra,11,IN,6/17/2021 18:01,70,22.85,69.7333,86.52,12.73
297,Saldanha,96,ZA,6/17/2021 18:01,88,-33.0117,17.9442,61.0,12.17
298,Dalianwan,0,CN,6/17/2021 18:01,88,39.0286,121.695,64.44,4.47
300,Kumul,98,CN,6/17/2021 18:01,12,42.8,93.45,79.9,7.07
301,Gwembe,5,ZM,6/17/2021 18:01,61,-16.4975,27.6069,56.26,2.46
303,Alghero,0,IT,6/17/2021 18:01,54,40.5589,8.3181,82.49,11.5
304,Taoudenni,0,ML,6/17/2021 18:01,5,22.6783,-3.9836,113.52,7.38
305,Ukiah,1,US,6/17/2021 18:01,29,39.1502,-123.2078,84.16,3.44
307,Bujaru,38,BR,6/17/2021 18:01,73,-1.515,-48.0447,86.02,3.62
308,Namatanai,95,PG,6/17/2021 18:01,83,-3.6667,152.4333,78.39,6.62
309,Vondrozo,5,MG,6/17/2021 18:01,97,-22.8167,47.2833,57.36,2.68
310,Caravelas,74,BR,6/17/2021 18:01,62,-17.7125,-39.2481,75.97,5.55
312,Meulaboh,50,ID,6/17/2021 18:02,85,4.1363,96.1285,76.64,3.36
313,Boma,83,GH,6/17/2021 18:02,71,7.0805,-2.1697,79.32,3.04
314,Bonthe,74,SL,6/17/2021 18:02,70,7.5264,-12.505,82.78,7.67
315,Talas,20,TR,6/17/2021 18:02,43,38.6908,35.5538,68.67,9.22
316,Huilong,100,CN,6/17/2021 18:02,95,31.8111,121.655,75.97,3.74
