City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
339,Castro,99,BR,6/17/2021 18:01,68,-24.7911,-50.0119,58.48,1.74
340,Volksrust,49,ZA,6/17/2021 18:02,37,-27.3654,29.8818,50.76,3.15
341,Areia Branca,19,BR,6/17/2021 18:02,67,-4.9561,-37.1369,84.78,18.54
342,San Andrés,19,CO,6/17/2021 18:02,82,12.5847,-81.7006,81.43,18.57
343,Nouadhibou,2,MR,6/17/2021 18:02,82,20.931,-17.0347,68.49,28.39
344,Puerto Wilches,87,CO,6/17/2021 18:02,50,7.3483,-73.896,92.01,3.42
345,Honiara,9,SB,6/17/2021 18:02,87,-9.4333,159.95,76.1,3.78
346,Adrar,4,MR,6/17/2021 18:02,10,20.5022,-10.0711,102.58,16.46
347,Bandarbeyla,91,SO,6/17/2021 18:02,82,9.4942,50.8122,77.58,30.27
348,Xai-Xai,0,MZ,6/17/2021 18:02,75,-25.0519,33.6442,67.26,7.94
349,Pangkalanbuun,99,ID,6/17/2021 18:02,99,-2.6833,111.6167,72.64,2.48
350,Chālūs,1,IR,6/17/2021 18:02,71,36.655,51.4204,82.04,3.2
351,Saint Joseph,4,US,6/17/2021 17:58,58,39.7686,-94.8466,88.32,13.96
352,Aksu,59,CN,6/17/2021 18:02,23,41.1231,80.2644,72.73,3.38
353,Dhidhdhoo,92,MV,6/17/2021 18:02,79,6.8833,73.1,82.89,16.26
354,Alamosa,1,US,6/17/2021 18:02,31,37.4695,-105.87,78.82,8.05
355,Umluj,0,SA,6/17/2021 18:02,59,25.0213,37.2685,83.66,8.84
356,Coos Bay,40,US,6/17/2021 18:02,78,43.3665,-124.2179,62.13,14.97
357,Bone,14,DE,6/17/2021 18:02,61,51.9669,12.1396,86.67,7.31
